Parameters : 

                   

populationSize = 50

maxRules = 60

maxGenerations = 1500

mutationRate = 0.07

bidPercentage = 0.05

rewardAmount = 2

repeatCount = 20

taxRate = 0.15

negativeRewardFactor = 0.75

strengthThreshold = 19

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
Condition: #01#1# Action: 1 Strength: 26.2415

Condition: #00#0# Action: 0 Strength: 26.2415

Condition: 000#0# Action: 1 Strength: 22.2173

Condition: #01#0# Action: 0 Strength: 22.2173

Condition: #01#0# Action: 0 Strength: 21.2848

Condition: #01#1# Action: 1 Strength: 21.2848

Condition: 001#0# Action: 1 Strength: 22.2173

Condition: #01#1# Action: 1 Strength: 22.2173

Condition: #00#11 Action: 1 Strength: 26.2415

Condition: #01#0# Action: 0 Strength: 26.2415

Condition: #00#1# Action: 0 Strength: 26.2415

Condition: #01#1# Action: 1 Strength: 26.2415

Condition: 001#0# Action: 1 Strength: 22.2173

Condition: #0##0# Action: 0 Strength: 22.2173

ALL RULES 

Condition: 0#1#0# Action: 0 Strength: 23.3713

Condition: 10#1## Action: 1 Strength: 23.3713

ALL RULES 

Rule 1: Condition = 01#1##, Action = 1, Strength = 26.2415

Rule 2: Condition = 01#0##, Action = 0, Strength = 26.2415

Rule 3: Condition = 001###, Action = 1, Strength = 26.2415

Rule 4: Condition = 10##0#, Action = 0, Strength = 25.6455

Rule 5: Condition = 10####, Action = 1, Strength = 24.1209

Rule 6: Condition = 00#1##, Action = 0, Strength = 20.5011

Rule 7: Condition = ###10#, Action = 0, Strength = 23.0733

Rule 8: Condition = 10####, Action = 0, Strength = 23.0733

Rule 9: Condition = 00####, Action = 1, Strength = 0.697894

Rule 10: Condition = 01###0, Action = 0, Strength = 0.697894

Rule 11: Condition = 1#####, Action = 1, Strength = 9.75365

Rule 12: Condition = 10#100, Action = 0, Strength = 9.75365

Rule 13: Condition = 00#1#0, Action = 0, Strength = 19.7612

Rule 14: Condition = 1##1#1, Action = 0, Strength = 19.7612

Rule 15: Condition = 00####, Action = 1, Strength = 25.1812

Rule 16: Condition = 1001##, Action = 1, Strength = 25.1812

Rule 17: Condition = #1#0##, Action = 1, Strength = 25.1812

Rule 18: Condition = 10####, Action = 0, Strength = 25.1812

Rule 19: Condition = 11#010, Action = 0, Strength = 9.11247

Rule 20: Condition = 00#1##, Action = 1, Strength = 9.11247

Rule 21: Condition = 01#1#0, Action = 0, Strength = 22.6313

Rule 22: Condition = 1##10#, Action = 1, Strength = 22.6313

Rule 23: Condition = 0000#0, Action = 0, Strength = 19.7612

Rule 24: Condition = 1#####, Action = 0, Strength = 19.7612

Rule 25: Condition = 00#00#, Action = 0, Strength = 10.7591

Rule 26: Condition = 01#0##, Action = 0, Strength = 10.7591

Rule 27: Condition = 01#1##, Action = 1, Strength = 26.2415

Rule 28: Condition = 001###, Action = 1, Strength = 26.2415

Rule 29: Condition = 1##1#0, Action = 0, Strength = 21.5711

Rule 30: Condition = 10####, Action = 1, Strength = 21.5711

Rule 31: Condition = 11#1#0, Action = 0, Strength = 19.0212

Rule 32: Condition = 1##1#0, Action = 0, Strength = 19.0212

Rule 33: Condition = 1##10#, Action = 0, Strength = 10.0085

Rule 34: Condition = 10###0, Action = 0, Strength = 10.0085

Rule 35: Condition = 01##0#, Action = 0, Strength = 23.0733

