Parameters : 

                   

PopulationSize = 30

MaxRules = 60

MaxGenerations = 1000

MutationRate = 0.1

BidPercentage = 0.05

RewardAmount = 2

RepeatCount = 20

TaxRate = 0.15

NegativeRewardFactor = 1.25

StrengthThreshold = 20

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
Condition: 01#1## Action: 1 Strength: 26.2414

Condition: 11###1 Action: 1 Strength: 22.0862

Condition: #1#### Action: 0 Strength: 20.7299

Condition: 01#1## Action: 0 Strength: 23.4857

Condition: #1#### Action: 1 Strength: 23.4857

Condition: 11#1## Action: 1 Strength: 23.4857

Condition: 01#### Action: 0 Strength: 23.4857

Condition: 01#1## Action: 0 Strength: 23.4857

Condition: ###### Action: 1 Strength: 23.4857

Condition: 0###0# Action: 1 Strength: 20.7316

Condition: #1#1## Action: 1 Strength: 20.7316

Condition: 010##1 Action: 0 Strength: 24.1638

Condition: 11#### Action: 1 Strength: 24.1638

Condition: #101## Action: 0 Strength: 23.4857

Condition: 01#### Action: 1 Strength: 23.4857

Condition: 11#### Action: 0 Strength: 21.408

Condition: 11###1 Action: 1 Strength: 21.408

Condition: 01#### Action: 0 Strength: 23.4857

Condition: #0#### Action: 1 Strength: 23.4857

ALL RULES 

Rule 27: Condition = 000##1, Action = 1, Strength = 26.0387

Rule 28: Condition = 01####, Action = 0, Strength = 26.0387

Rule 29: Condition = 10###0, Action = 0, Strength = 25.1525

Rule 30: Condition = 11##11, Action = 1, Strength = 25.1525

Rule 31: Condition = 000#0#, Action = 0, Strength = 26.2415

Rule 32: Condition = 10####, Action = 0, Strength = 26.2415

Rule 33: Condition = 10##01, Action = 0, Strength = 13.5109

Rule 34: Condition = 11####, Action = 0, Strength = 13.5109

Rule 35: Condition = 01####, Action = 1, Strength = 20.0871

Rule 36: Condition = 101###, Action = 1, Strength = 20.0871

Rule 37: Condition = 11####, Action = 0, Strength = 26.0387

Rule 38: Condition = 000##1, Action = 1, Strength = 26.0387

Rule 39: Condition = 11####, Action = 0, Strength = 25.1525

Rule 40: Condition = 000###, Action = 0, Strength = 25.1525

Rule 41: Condition = 00##1#, Action = 1, Strength = 13.5721

Rule 42: Condition = 10##1#, Action = 1, Strength = 13.5721

Rule 43: Condition = 00##0#, Action = 1, Strength = 20.0872

Rule 44: Condition = #1####, Action = 1, Strength = 20.0872

Rule 45: Condition = 011#11, Action = 0, Strength = 13.4571

Rule 46: Condition = 10#0##, Action = 1, Strength = 13.4571

Rule 47: Condition = 01####, Action = 0, Strength = 23.1673

Rule 48: Condition = 0100#1, Action = 1, Strength = 23.1673

Rule 49: Condition = 000###, Action = 0, Strength = 26.2414

Rule 50: Condition = 001#1#, Action = 1, Strength = 26.2414

Rule 51: Condition = 11#101, Action = 1, Strength = 24.9498

Rule 52: Condition = 11###1, Action = 0, Strength = 24.9498

Rule 53: Condition = 11#00#, Action = 0, Strength = 12.293

Rule 54: Condition = 11##0#, Action = 1, Strength = 12.293

Rule 55: Condition = 001##1, Action = 1, Strength = 26.0387

Rule 56: Condition = 11####, Action = 1, Strength = 26.0387

Rule 57: Condition = 00####, Action = 0, Strength = 26.2415

Rule 58: Condition = 100#0#, Action = 0, Strength = 26.2415

Rule 59: Condition = 011#0#, Action = 0, Strength = 23.37

Rule 60: Condition = 1000##, Action = 0, Strength = 23.37


Final Accuracy: 57.8125%

Run : 3

Final High Strength Rules:
Condition: #1#0#0 Action: 0 Strength: 26.2415

Condition: #1#1#1 Action: 1 Strength: 26.2415

Condition: 10#11# Action: 1 Strength: 20.4954

Condition: 10#1#1 Action: 1 Strength: 23.3684

Condition: #1011# Action: 1 Strength: 23.3684

Condition: 11#11# Action: 0 Strength: 23.3684

Condition: 10#0#0 Action: 1 Strength: 23.3684

Condition: 01#0#0 Action: 1 Strength: 26.2415

Condition: #1#1#1 Action: 0 Strength: 26.2415

Condition: 01#1#1 Action: 1 Strength: 26.2415

Condition: #1#1#1 Action: 1 Strength: 26.2415

Condition: 11#1## Action: 1 Strength: 23.3684

Condition: #0###1 Action: 1 Strength: 23.3684

Condition: #1#11# Action: 1 Strength: 23.3684

Condition: 10###1 Action: 1 Strength: 23.3684

Condition: 11#1## Action: 1 Strength: 23.3684

Condition: #0#111 Action: 1 Strength: 23.3684

Condition: #1#1#1 Action: 0 Strength: 26.2415

Condition: #1#0#1 Action: 1 Strength: 26.2415

Condition: 10#110 Action: 1 Strength: 23.3684

Condition: #1#0## Action: 1 Strength: 23.3684

ALL RULES 

Rule 1: Condition = #1#0#0, Action = 0, Strength = 26.2415

Rule 2: Condition = #1#1#1, Action = 1, Strength = 26.2415

Rule 3: Condition = 10#11#, Action = 1, Strength = 20.4954

Rule 4: Condition = #001#1, Action = 0, Strength = 17.8776

Rule 5: Condition = 10#100, Action = 0, Strength = 8.98907

Rule 6: Condition = ######, Action = 1, Strength = 8.43641

Rule 7: Condition = 1111#0, Action = 0, Strength = 7.44851

Rule 8: Condition = 11#01#, Action = 1, Strength = 4.6567

Rule 9: Condition = #001#0, Action = 0, Strength = 1.26189

Rule 10: Condition = #1#10#, Action = 1, Strength = 1.20703

Rule 11: Condition = #110#0, Action = 0, Strength = 1.01711

Rule 12: Condition = #1#0#0, Action = 0, Strength = 1.01711

Rule 13: Condition = 10#1#1, Action = 1, Strength = 23.3684

Rule 14: Condition = #1011#, Action = 1, Strength = 23.3684

Rule 15: Condition = 11#11#, Action = 0, Strength = 23.3684

Rule 16: Condition = 10#0#0, Action = 1, Strength = 23.3684

Rule 17: Condition = #111#0, Action = 1, Strength = 4.06076

Rule 18: Condition = 1111#1, Action = 0, Strength = 4.06076

Rule 19: Condition = #001#0, Action = 0, Strength = 12.663

Rule 20: Condition = 1111#1, Action = 0, Strength = 12.663

Rule 21: Condition = #1#0##, Action = 1, Strength = 13.7242

Rule 22: Condition = #1#100, Action = 0, Strength = 13.7242

Rule 23: Condition = #00100, Action = 0, Strength = 13.3822

Rule 24: Condition = 11#010, Action = 0, Strength = 13.3822

Rule 25: Condition = 10###1, Action = 1, Strength = 0.63891

Rule 26: Condition = #0#1#1, Action = 1, Strength = 0.63891

Rule 27: Condition = #0#11#, Action = 1, Strength = 10.5979

Rule 28: Condition = 11#0#0, Action = 1, Strength = 10.5979

Rule 29: Condition = 01#0#0, Action = 1, Strength = 26.2415

Rule 30: Condition = #1#1#1, Action = 0, Strength = 26.2415

Rule 31: Condition = #1#0#0, Action = 0, Strength = 13.4709

Rule 32: Condition = #1#0#0, Action = 1, Strength = 13.4709

Rule 33: Condition = #111#1, Action = 0, Strength = 12.663

Rule 34: Condition = 1#01#1, Action = 0, Strength = 12.663

Rule 35: Condition = 01#1#1, Action = 1, Strength = 26.2415

Rule 36: Condition = #1#1#1, Action = 1, Strength = 26.2415

Rule 37: Condition = 11#1##, Action = 1, Strength = 23.3684

Rule 38: Condition = #0###1, Action = 1, Strength = 23.3684

Rule 39: Condition = #1#11#, Action = 1, Strength = 23.3684

Rule 40: Condition = 10###1, Action = 1, Strength = 23.3684

Rule 41: Condition = 11#1##, Action = 1, Strength = 23.3684

Rule 42: Condition = #0#111, Action = 1, Strength = 23.3684

Rule 43: Condition = #0#1#1, Action = 0, Strength = 19.1865

Rule 44: Condition = 11011#, Action = 1, Strength = 19.1865

Rule 45: Condition = #1#100, Action = 0, Strength = 17.6153

Rule 46: Condition = 10#000, Action = 0, Strength = 17.6153

Rule 47: Condition = 10#1#0, Action = 1, Strength = 5.12548

Rule 48: Condition = #001#0, Action = 0, Strength = 5.12548

Rule 49: Condition = #####1, Action = 1, Strength = 13.3574

Rule 50: Condition = 10#1##, Action = 1, Strength = 13.3574

Rule 51: Condition = #111##, Action = 0, Strength = 0.521511

Rule 52: Condition = #1#11#, Action = 1, Strength = 0.521511

Rule 53: Condition = 01#010, Action = 0, Strength = 13.4116

Rule 54: Condition = #0#1##, Action = 0, Strength = 13.4116

Rule 55: Condition = #1#1#1, Action = 0, Strength = 26.2415

Rule 56: Condition = #1#0#1, Action = 1, Strength = 26.2415

Rule 57: Condition = 10#110, Action = 1, Strength = 23.3684

Rule 58: Condition = #1#0##, Action = 1, Strength = 23.3684

Rule 59: Condition = #0#000, Action = 0, Strength = 17.6153

Rule 60: Condition = 11#1#0, Action = 0, Strength = 17.6153


Final Accuracy: 53.125%

Run : 4

Final High Strength Rules:
Condition: 11###1 Action: 1 Strength: 25.3088

Condition: 000### Action: 0 Strength: 24.9367

Condition: 1###0# Action: 0 Strength: 24.6443

Condition: 0##1## Action: 1 Strength: 24.4007

Condition: #11### Action: 0 Strength: 22.7821

Condition: #100## Action: 0 Strength: 22.6164

Condition: 10#### Action: 1 Strength: 21.4124

Condition: 0##### Action: 1 Strength: 20.1435

Condition: 001### Action: 0 Strength: 24.9367

Condition: 000### Action: 0 Strength: 24.9367

